symbol,effective_date,split_ratio,current_float_m,status
SPRC,2025-07-03,21,1.98,Complete
WBX,2025-07-03,20,8.48,Complete
PTHS,2025-07-02,10,0.57,Complete
HSDT,2025-07-01,50,73.74,Complete
AIMD,2025-06-30,5,2.04,Complete
GNLN,2025-06-27,750,1.39,Complete
INDP,2025-06-27,28,1.11,Complete
TRNR,2025-06-27,10,2.39,Complete
SBLX,2025-06-26,16,1.41,Complete
SLMT,2025-06-26,10,80.59,Complete
CLRB,2025-06-24,30,4.13,Complete
JDZG,2025-06-24,8,1.09,Complete
STEM,2025-06-23,20,7.94,Complete
KULR,2025-06-23,8,42.86,Complete
SLE,2025-06-23,40,6.06,Complete
TRUG,2025-06-23,50,2.26,Complete
XXII,2025-06-20,23,6.99,Complete
UNCY,2025-06-20,10,20.83,Complete
BNRG,2025-06-20,5,3.64,Complete
FGEN,2025-06-17,25,4.00,Complete
AIM,2025-06-17,100,2.76,Complete
RAPT,2025-06-17,8,15.13,Complete
SNSE,2025-06-17,20,0.83,Complete
SMX,2025-06-16,4.1,1.05,Complete
SHPH,2025-06-16,25,0.92,Complete
GCTK,2025-06-16,60,0.91,Complete
NCI,2025-06-16,5,1.08,Complete
JFBR,2025-06-16,17,0.66,Complete
JZ,2025-06-16,10,6.77,Complete
CBIO,2025-06-16,100,5.66,Complete
CHNR,2025-06-13,8,0.53,Complete
CERO,2025-06-13,20,21.07,Complete
ARTL,2025-06-13,6,1.88,Complete
ONCO,2025-06-13,85,1.51,Complete
AMZE,2025-06-13,23,18.75,Complete
ERNA,2025-06-12,15,6.59,Complete
EMPD,2025-06-12,8,36.42,Complete
SST,2025-06-12,10,2.66,Complete
SVRE,2025-06-11,3,2.18,Complete
INUV,2025-06-10,10,12.10,Complete
CLRO,2025-06-10,15,0.95,Complete
BBLG,2025-06-10,6,1.79,Complete
HUSA,2025-06-09,10,6.03,Complete
NKTR,2025-06-09,15,20.16,Complete
BOLT,2025-06-09,20,1.54,Complete
AEMD,2025-06-09,8,0.74,Complete
PXLW,2025-06-09,12,5.99,Complete
DUO,2025-06-09,16,3.90,Complete
INAB,2025-06-06,30,4.23,Complete
AGMH,2025-06-03,50,1.89,Complete
OGEN,2025-06-03,30,4.09,Complete
EKSO,2025-06-02,15,3.36,Complete
LYEL,2025-06-02,20,19.22,Complete
BNBX,2025-06-02,15,1.29,Complete
ARBB,2025-06-02,15,1.29,Complete
BINI,2025-06-02,100,12.48,Complete
EJH,2025-05-30,50,19.70,Complete
TAOP,2025-05-29,30,0.98,Complete
ASPS,2025-05-28,8,9.32,Complete
LYRA,2025-05-28,50,1.76,Complete
KG,2025-05-28,20,5.71,Complete
FRGT,2025-05-27,4,5.90,Complete
APVO,2025-05-27,20,16.85,Complete
PLRZ,2025-05-27,250,0.98,Complete
WHLR,2025-05-27,7,0.69,Complete
QVCGA,2025-05-23,50,6.37,Complete
DGLY,2025-05-23,100,1.90,Complete
AIFU,2025-05-21,20,1.89,Complete
UOKA,2025-05-20,25,0.66,Complete
CDT,2025-05-20,15,1.60,Complete
CVM,2025-05-20,30,7.91,Complete
SQFT,2025-05-19,10,1.23,Complete
BON,2025-05-19,25,6.09,Complete
CNEY,2025-05-19,25,1.01,Complete
RNAZ,2025-05-15,28,0.92,Complete
MLEC,2025-05-14,10,7.76,Complete
XAGE,2025-05-14,30,1.62,Complete
