symbol,effective_date,split_ratio,current_float_m,status
EFOI,2020-06-12,5,3.62,Complete
XWEL,2020-06-11,3,5.22,Complete
TLGT,2020-05-28,10,91.82,Complete
RAND,2020-05-22,9,1.18,Complete
RDNW,2020-05-20,20,17.27,Complete
CD,2020-05-19,2,22.87,Complete
FTSI,2020-05-12,20,9.62,Complete
DSS,2020-05-08,30,3.07,Complete
WINT,2020-04-29,3,33.71,Complete
CREG,2020-04-15,10,3.26,Complete
BGMS,2020-04-15,20,3.79,Complete
TBLT,2020-04-15,10,1.32,Complete
BNTC,2020-04-15,2,23.85,Complete
MCEP,2020-04-13,20,,Complete
DVLT,2020-04-09,20,241.66,Complete
APVO,2020-03-27,14,16.85,Complete
EKSO,2020-03-25,15,3.36,Complete
SUMR,2020-03-16,9,1.34,Complete
ICD,2020-03-12,20,13.92,Complete
BDRX,2020-03-03,5,0.62,Complete
NTRP,2020-02-27,10,7.45,Complete
AVEO,2020-02-20,10,34.68,Complete
NVIV,2020-02-12,30,3.04,Complete
BLPH,2020-02-10,15,9.85,Complete
SGBX,2020-02-06,20,5.36,Complete
BLCM,2020-02-06,10,9.72,Complete
SNES,2020-02-05,20,5.22,Complete
CFRX,2020-02-04,10,3.63,Complete
MYO,2020-01-31,30,36.20,Complete
GURE,2020-01-28,5,1.36,Complete
SRRA,2020-01-23,40,19.13,Complete
YTEN,2020-01-16,40,0.53,Complete
IDXG,2020-01-15,10,4.31,Complete
PHIO,2020-01-15,55,11.34,Complete
MTBL,2020-01-09,3,5.55,Complete
XTIA,2020-01-07,45,32.77,Complete
VANI,2020-01-06,8,26.81,Complete
JRJC,2020-01-06,10,0.00,Complete
USEG,2020-01-06,10,14.18,Complete
RCON,2019-12-27,5,9.03,Complete
DCTH,2019-12-24,700,31.89,Complete
QUIK,2019-12-24,14,16.61,Complete
XWIN,2019-12-23,5,40.87,Complete
CENN,2019-12-20,100,79.18,Complete
PLX,2019-12-20,10,74.72,Complete
ESEA,2019-12-19,8,3.34,Complete
PIXY,2019-12-16,40,0.29,Complete
IMBI,2019-12-12,10,26.47,Complete
ASXC,2019-12-12,13,267.29,Complete
CLSK,2019-12-11,10,245.92,Complete
ELYS,2019-12-09,8,31.91,Complete
FWP,2019-12-06,7,2.27,Complete
NMRD,2019-12-05,10,17.00,Complete
LODE,2019-11-29,5,50.15,Complete
SQNS,2019-11-29,4,15.44,Complete
